Postcode,Postal_Town
3414,DIMBOOLA
3735,WHOROULY
3723,Merrijig
3332,LETHBRIDGE
3678,Oxley
3070,NORTHCOTE
3051,NORTH MELBOURNE
3175,DANDENONG
3446,MALMSBURY
3016,WILLIAMSTOWN NORTH
3579,KERANG
3818,DROUIN
3333,MEREDITH
3678,EDI UPPER
3629,MOOROOPNA
3023,CAIRNLEA
3342,BALLAN
3616,TATURA
3614,TOOLAMBA
3691,OSBORNES FLAT
3199,FRANKSTON EAST LPO
3480,DONALD
3753,BEVERIDGE
3182,ST KILDA
3351,Cape Clear
3799,WARBURTON
3659,TALLAROOK
3688,BARNAWARTHA
3068,FITZROY NORTH
3218,GEELONG WEST
3980,TOORADIN
3558,ELMORE
3646,DOOKIE
3186,BRIGHTON
3409,NATIMUK
3390,MURTOA
3555,Big Hill
3370,CLUNES
3387,MARNOO
3747,BEECHWORTH
3629,ARDMONA
3764,KILMORE
3286,MACARTHUR
3227,BARWON HEADS
3036,KEILOR
3472,DUNOLLY
3682,SPRINGHURST
3775,DIXONS CREEK
3458,TRENTHAM
3352,WARRENHEIP
3551,MAIDEN GULLY
3388,RUPANYUP
3557,GOORNONG
3166,OAKLEIGH
3221,CERES
3144,MALVERN
3460,DAYLESFORD
3903,SWAN REACH
3468,AMPHITHEATRE
3235,DEANS MARSH
3222,DRYSDALE
3478,St Arnaud
3268,NULLAWARRE
3440,MACEDON
3099,ARTHURS CREEK
3711,Buxton
3478,MOONAMBEL
3463,BARINGHUP
3851,Longford
3806,HARKAWAY
3926,BALNARRING
3678,Londrigan via Wangaratta
3666,EUROA
3575,PYRAMID HILL
3631,SHEPPARTON EAST
3882,NICHOLSON
3631,KIALLA WEST
3352,MINERS REST
3675,GLENROWAN
3726,DEVENISH
3629,UNDERA
3691,DEDERANG
3551,"AXE CREEK, via Strathfieldsaye"
3795,SILVAN
3355,Wendouree
3620,LANCASTER
3570,RAYWOOD
3461,Drummond
3662,PUCKAPUNYAL
3384,LANDSBOROUGH
3156,LYSTERFIELD
3673,WINTON
3618,MERRIGUM
3691,BETHANGA
3067,ABBOTSFORD
3220,NEWTOWN
3181,WINDSOR
3804,NARRE WARREN NORTH
3885,BUCHAN
3213,Anakie
3221,MOOLAP
3011,Footscray
3442,NEWHAM
3082,MILL PARK
3550,WHITE HILLS
3352,Mount Egerton
3635,WUNGHNU
3377,MAROONA
3818,JINDIVICK
3691,TALGARNO
3352,Bungaree
3211,LITTLE RIVER
3857,COWWARR
3752,SOUTH MORANG
3521,PYALONG
3241,WINCHELSEA
3821,BULN BULN
3350,SOLDIERS HILL
3931,MORNINGTON
3352,BLOWHARD
3091,YARRAMBAT
3726,THOONA
3311,CASTERTON
3638,NATHALIA
3088,GREENSBOROUGH
3328,TEESDALE
3977,CRANBOURNE
3649,Katamatite
3375,BUANGOR
3567,LEITCHVILLE
3757,WHITTLESEA
3350,Nerrina
3820,WARRAGUL
3097,KANGAROO GROUND
3844,TRARALGON SOUTH
3315,Coleraine
3581,LAKE CHARM
3818,RIPPLEBROOK
3636,NUMURKAH
3825,MOE
3220,GEELONG
3153,BAYSWATER
3392,MINYIP
3170,MULGRAVE
3823,YARRAGON
3844,TYERS
3824,TRAFALGAR
3763,KINGLAKE
3821,ELLINBANK
3691,BARANDUDA
3728,TUNGAMAH
3815,BUNYIP
3566,GUNBOWER
3812,NAR NAR GOON
3962,TOORA
3765,MONTROSE
3580,KOONDROOK
3640,KATUNGA
3352,Magpie
3697,TAWONGA
3824,Narracan
3701,ESKDALE
3822,DARNUM
3933,MOOROODUC
3154,THE BASIN
3880,PAYNESVILLE
3551,EPSOM
3031,KENSINGTON
3840,HAZELWOOD NORTH
3871,MIRBOO NORTH
3869,YINNAR
3831,NEERIM SOUTH
3079,IVANHOE
3223,PORTARLINGTON
3792,THE PATCH
3816,LABERTOUCHE
3427,DIGGERS REST
3816,LONGWARRY
3783,Gembrook
3850,WURRUK
3825,WILLOW GROVE
3139,HODDLES CREEK
3808,BEACONSFIELD UPPER
3633,CONGUPNA
3444,REDESDALE
3145,MALVERN EAST
3139,Launching Place
3053,CARLTON
3032,ASCOT VALE
3870,BOOLARRA
3939,ROSEBUD
3981,KOO WEE RUP
3143,ARMADALE
3934,MOUNT MARTHA
3912,SOMERVILLE
3379,WILLAURA
3909,LAKES ENTRANCE
3732,Myrrhee
3665,LONGWOOD
3236,FORREST
3078,FAIRFIELD
3821,NILMA
3814,GARFIELD
3869,YINNAR SOUTH
3809,OFFICER
3057,BRUNSWICK EAST
3888,ORBOST
3996,INVERLOCH
3127,SURREY HILLS
3205,SOUTH MELBOURNE
3641,STRATHMERTON
3401,LAHARUM
3709,WALWA
3206,MIDDLE PARK
3139,SEVILLE
3013,YARRAVILLE
3058,MORELAND
3825,TANJIL SOUTH
3381,POMONAL
3854,GLENGARRY
3163,CARNEGIE
3984,LANG LANG
3136,CROYDON
3039,MOONEE PONDS
3132,MITCHAM
3945,LOCH
3500,MILDURA
3130,BLACKBURN
3888,Newmerella
3207,PORT MELBOURNE
3123,HAWTHORN EAST
3194,MENTONE
3770,COLDSTREAM
3095,RESEARCH
3912,PEARCEDALE
3875,Lindenow South
3835,THORPDALE
3021,ST ALBANS
3953,LEONGATHA
3423,JEPARIT
3142,TOORAK
3911,BAXTER
3959,Fish Creek
3807,BEACONSFIELD
3904,METUNG
3925,Newhaven
3381,HALLS GAP
3634,TALLYGAROOPNA
3204,BENTLEIGH
3950,KORUMBURRA
3919,CRIB POINT
3044,PASCOE VALE
3717,FLOWERDALE
3226,OCEAN GROVE
3395,BEULAH
3020,SUNSHINE
3913,TYABB
3071,THORNBURY
3695,HUON
3102,Kew East
3501,NICHOLS POINT
3498,IRYMPLE
3878,EAGLE POINT
3797,Yarra Junction
3787,SASSAFRAS
3786,Ferny Creek
3777,TOOLANGI
3115,WONGA PARK
3757,KINGLAKE WEST
3793,MONBULK
3584,LAKE BOGA
3777,CHUM CREEK
3766,KALORAMA
3529,NULLAWIL
3757,KINGLAKE CENTRAL
3225,POINT LONSDALE
3169,CLARINDA
3196,CHELSEA HEIGHTS
3222,WALLINGTON
3160,TECOMA
3228,TORQUAY
3890,NOORINBEE
3782,Emerald
3198,SEAFORD
3987,NYORA
3338,EXFORD
3544,ULTIMA
3149,MOUNT WAVERLEY
3888,MARLO
3163,MURRUMBEENA
3797,YARRA JUNCTION
3501,KOORLONG
3134,Warranwood
3764,WILLOWMAVIN
3788,Olinda
3239,CARLISLE RIVER
3550,STRATHDALE
3892,MALLACOOTA
3910,LANGWARRIN
3781,Cockatoo
3158,UPWEY
3037,SYDENHAM
3126,CANTERBURY
3505,CABARITA
3844,TRARALGON
3055,BRUNSWICK WEST
3060,FAWKNER
3078,ALPHINGTON
3820,BONA VISTA
3201,CARRUM DOWNS
3083,BUNDOORA
3782,Macclesfield
3193,BLACK ROCK
3796,MOUNT EVELYN
3137,KILSYTH
3995,WONTHAGGI
3015,Spotswood
3978,CLYDE
3174,NOBLE PARK
3103,DEEPDENE
3875,Clifton Creek
3978,CARDINIA
3631,GRAHAMVALE
3163,GLEN HUNTLY
3561,NANNEELLA
3152,WANTIRNA
3338,MELTON SOUTH
3196,CHELSEA
3887,NOWA NOWA
3188,Hampton
8008,"St Kilda Rd Central, MELBOURNE"
3340,BALLIANG EAST
3196,EDITHVALE
3631,ORRVALE
3509,UNDERBOOL
3161,CAULFIELD NORTH
3125,BURWOOD
3579,MURRABIT
3187,BRIGHTON EAST
3193,Cromer
3647,Dookie Campus
3890,CANN RIVER
3018,ALTONA
3977,DEVON MEADOWS
3156,UPPER FERNTREE GULLY
3713,EILDON
3918,BITTERN
3559,COLBINABBIN
3623,STANHOPE
3099,HURSTBRIDGE
3184,ELWOOD
3127,MONT ALBERT
3610,DHURRINGILE
3099,Strathewen
3139,DON VALLEY
3073,RESERVOIR
3825,YALLOURN NORTH
3624,GIRGARRE
3424,YAAPEET
3797,GLADYSDALE
3039,Moonee Ponds
3791,Kallista
3041,Essendon North
3032,Ascot Vale
3496,RED CLIFFS
3976,HAMPTON PARK
3250,Colac
3183,ST KILDA EAST
3833,NOOJEE
3094,MONTMORENCY
3240,MORIAC
3134,RINGWOOD NORTH
3044,Pascoe Vale
3030,POINT COOK
3851,AIRLY
3195,PARKDALE
3166,HUGHESDALE
3195,Aspendale
3095,ELTHAM NORTH
3040,Essendon
3218,MANIFOLD HEIGHTS
3909,NUNGURNER
3172,DINGLEY VILLAGE
3496,CARDROSS
3020,ALBION
3631,LEMNOS
3956,TARWIN LOWER
3162,CAULFIELD SOUTH
3147,ASHBURTON
3851,SEASPRAY
3230,ANGLESEA
3088,BRIAR HILL
3634,ZEERUST
3204,ORMOND
3169,CLAYTON SOUTH
3079,IVANHOE EAST
3851,COBAINS
3501,MILDURA SOUTH
3634,KATANDRA WEST
3805,NARRE WARREN
3927,SOMERS
3044,Pascoe Vale South
3084,ROSANNA
3152,WANTIRNA SOUTH
3041,STRATHMORE
3104,BALWYN NORTH
3699,MOUNT BEAUTY
3058,East Coburg
3825,NEWBOROUGH
3632,SHEPPARTON
3630,SHEPPARTON
3218,HAMLYN HEIGHTS
3199,KARINGAL CENTRE
3159,Selby
3350,BALLARAT NORTH
3694,BANDIANA MILPO
3402,HORSHAM
3135,RINGWOOD EAST
3075,LALOR
3165,BENTLEIGH EAST
3130,BLACKBURN NORTH
3167,OAKLEIGH SOUTH
3129,BOX HILL NORTH
3156,FERNTREE GULLY
3046,Oak Park
3554,Bendigo DC
3020,SUNSHINE NORTH
3977,CRANBOURNE SOUTH
3355,LAKE GARDENS
3072,EAST PRESTON
3215,NORTH GEELONG
3064,CRAIGIEBURN
3199,FRANKSTON
3019,BRAYBROOK
3196,BONBEACH
3171,SPRINGVALE
3193,BEAUMARIS
3215,HAMLYN HEIGHTS
3131,BRENTFORD SQUARE
3046,GLENROY
3034,AVONDALE HEIGHTS
3109,DONCASTER EAST
3129,KERRIMUIR
3135,HEATHMONT
3149,Mount Waverley
3165,East Bentleigh
3087,WATSONIA
3195,Parkdale
3083,KINGSBURY
3022,ARDEER
3043,TULLAMARINE
3114,PARK ORCHARDS
3130,Blackburn
3215,Bell Post Hill
3111,DONVALE
3149,Pinewood
3047,DALLAS
3033,KEILOR EAST
3136,BURNT BRIDGE
3131,FOREST HILL
3212,LARA
3134,RINGWOOD
3084,VIEWBANK
3266,SIMPSON
3636,Invergordon
3156,MOUNTAIN GATE
3155,BORONIA
3136,Croydon
3199,KARINGAL
3189,Moorabbin
3025,ALTONA NORTH
3151,Burwood East
3355,WENDOUREE
3138,MOOROOLBARK
3200,Pines Forest
3579,Kerang
3047,Broadmeadows
3215,GEELONG NORTH
3842,CHURCHILL
3840,MORWELL
3105,BULLEEN
3087,WATSONIA NORTH
3180,KNOXFIELD
3108,DONCASTER
3199,FRANKSTON SOUTH
3178,ROWVILLE
3029,HOPPERS CROSSING
3107,TEMPLESTOWE LOWER
3199,"Karingal Centre P.O.,FRANKSTON"
3429,Sunbury
3043,GLADSTONE PARK
3138,Mooroolbark
3133,VERMONT SOUTH
3023,DEER PARK
3061,CAMPBELLFIELD
3150,Wheelers Hill
3690,WODONGA
3198,Belvedere Park PO Seaford
3121,RICHMOND
3140,LILYDALE
3020,SUNSHINE WEST
3699,Falls Creek
3175,DANDENONG NORTH
3338,Melton South
3150,WHEELERS HILL
3147,ASHWOOD
3047,Dallas
3133,Vermont South
3174,NOBLE PARK NORTH
3219,WHITTINGTON
3106,TEMPLESTOWE
3940,CAPEL SOUND
3802,ENDEAVOUR HILLS
3690,WEST WODONGA
3195,ASPENDALE
3081,Bellfield
3644,COBRAM
3150,BRANDON PARK
3029,HOPPERS CROSSING DC
3028,Altona Meadows
3850,Sale
3021,ALBANVALE
3064,Roxburgh Park
3197,PATTERSON LAKES
3116,Chirnside Park
3984,CORINELLA
3340,BACCHUS MARSH
3350,Redan
3337,MELTON WEST
3806,BERWICK
3028,Laverton
3073,Reservoir
3151,BURWOOD EAST
3048,MEADOW HEIGHTS
3851,LOCH SPORT
3796,Mount Evelyn
3189,Moorabbin East
3136,CROYDON HILLS
3038,Taylors Lakes
3047,BROADMEADOWS
3012,KINGSVILLE
3130,BLACKBURN SOUTH
3076,EPPING
3028,ALTONA MEADOWS
3037,DELAHEY
3195,ASPENDALE GARDENS
3038,KEILOR DOWNS
3028,SEABROOK
3502,MILDURA
3030,Werribee
3669,VIOLET TOWN
3810,PAKENHAM
3977,CRANBOURNE NORTH
3325,DERRINALLUM
3272,MORTLAKE
3302,BRANXHOLME
3217,MOUNT DUNEED
3281,GRASMERE
3285,NARRAWONG
3354,BALLARAT MAIL CENTRE
3354,BALLARAT
3489,TEMPY
3825,RAWSON
3851,Bundalaguah
3821,LARDNER
3832,NAYOOK
3847,NAMBROK
3966,WELSHPOOL
3733,WHITFIELD
3675,GRETA SOUTH
3678,Everton
3637,WAAIA
3494,NANGILOC
3533,SEA LAKE
3453,HARCOURT
3590,BEVERFORD
3042,NIDDRIE
3337,TOOLERN VALE
3128,BOX HILL SOUTH
3956,MEENIYAN
3981,BAYLES
3992,DALYSTON
3170,WAVERLEY GARDENS
3166,OAKLEIGH EAST
3155,Boronia
3318,EDENHOPE
3512,MURRAYVILLE
3287,HAWKESDALE
3085,YALLAMBIE
3588,WOORINEN SOUTH
3351,SMYTHESDALE
3873,GORMANDALE
3062,SOMERTON
3219,NEWCOMB
3595,NYAH WEST
3805,NARRE WARREN SOUTH
3977,CRANBOURNE EAST
3135,Heathmont
3037,HILLSIDE
3064,ROXBURGH PARK
3030,Point Cook
3975,LYNBROOK
3754,Doreen
3029,Tarneit
3023,Caroline Springs
3076,Epping
3029,Truganina
3023,Burnside
3805,Narre Warren South
3809,Officer
3810,Pakenham
3977,Cranbourne
3130,Blackburn South
3023,Deer Park
3564,Echuca
3977,Cranbourne East
3975,Lyndhurst
3064,Craigieburn
3754,Mernda
3020,Sunshine
3130,Blackburn North
3555,Golden Square
3075,Lalor
3173,Keysborough
3172,Springvale South
3175,Dandenong North
3172,SPRINGVALE SOUTH
3171,Springvale
3038,Keilor Downs
3550,Nth Bendigo
3046,Glenroy
3402,Horsham
3024,Wyndham Vale
3047,Jacana
3228,Torquay
3337,Melton West
3978,Clyde North
3006,Southbank
3977,Cranbourne West
3206,Albert Park
3217,Armstrong Creek
3218,Geelong West
3231,Aireys Inlet
3840,Morwell
3249,COLAC
3233,APOLLO BAY
3860,BOISDALE
3568,COHUNA
3294,DUNKELD
3571,DINGEE
3960,FOSTER
3412,GOROKE
3304,HEYWOOD
3691,TANGAMBALANGA
3238,LAVERS HILL
3563,LOCKINGTON
3546,MANANGATANG
3264,TERANG
3310,MERINO
3612,RUSHWORTH
3085,MACLEOD
3988,POOWONG
3284,PORT FAIRY
3937,RED HILL
3621,TONGALA
3496,WERRIMULL
3260,CAMPERDOWN
3268,TIMBOON
3518,WEDDERBURN
3129,MONT ALBERT NORTH
3750,Wollert
3072,NORTHLAND
3006,SOUTHBANK
3280,Warrnambool
3123,Hawthorn East
3373,Beaufort
3193,Beaumaris
3128,BOX HILL
3550,Strathdale
3011,FOOTSCRAY
3219,EAST GEELONG
3102,KEW EAST
3619,KYABRAM
3232,Lorne P-12 College
3032,MARIBYRNONG
3195,MORDIALLOC
3204,MCKINNON
3004,MELBOURNE
3490,OUYEN
3046,OAK PARK
3181,Windsor
3072,Preston
3054,PRINCES HILL
3424,Rainbow
3121,Richmond
3549,ROBINVALE
3478,ST ARNAUD
3056,BRUNSWICK
3052,PARKVILLE
3062,Somerton BC Somerton
3133,Vermont
3113,Warrandyte
3354,Ballarat East
3145,CAULFIELD EAST
3782,EMERALD
3841,Morwell BC
3066,COLLINGWOOD
3336,Fraser Rise
3038,TAYLORS LAKES
3071,Thornbury
3150,Glen Waverley
3200,FRANKSTON NORTH
3525,CHARLTON
3527,WYCHEPROOF
3483,BIRCHIP
3418,NHILL
3019,ROBINSON
3419,KANIVA
3707,CORRYONG
3465,Maryborough
3752,South Morang
3058,Coburg
3689,Wodonga
3800,Monash University
3018,Altona
3995,Wonthaggi
3803,Hallam
3802,Endeavour Hills
3407,Balmoral
3736,Myrtleford
3912,Somerville
3537,Boort
3730,Yarrawonga
3661,Seymour
3505,Merbein
3085,Macleod West
3021,St. Albans
3896,Swifts Creek
3060,Fawkner
3356,Sebastopol
3214,CORIO
3396,Hopetoun
3177,DOVETON
3672,Benalla
3052,Parkville
3003,WEST MELBOURNE
3350,BALLARAT WEST
3350,BALLARAT EAST
3185,ELSTERNWICK
3677,WANGARATTA
3550,BENDIGO
3465,MARYBOROUGH
3350,REDAN
3841,MORWELL
3660,SEYMOUR
3301,TARRINGTON
3672,BENALLA
3352,DUNNSTOWN
3730,YARRAWONGA
3564,ECHUCA WEST
3305,PORTLAND SOUTH
3620,KYABRAM
3315,COLERAINE
3550,QUARRY HILL
3056,BRUNSWICK NORTH
3930,MT ELIZA
3249,CORAGULAC
3280,DENNINGTON
3161,CAULFIELD
3181,PRAHRAN EAST
3737,MYRTLEFORD
3173,KEYSBOROUGH
3103,DEEPDENE/BALWYN
3853,SALE
3124,CAMBERWELL EAST
3188,HAMPTON
3505,MERBEIN
3072,PRESTON WEST
3073,PRESTON EAST
3058,COBURG EAST
3352,CLARKES HILL
3148,CHADSTONE
3079,IVANHOE NORTH
3190,HIGHETT
3131,NUNAWADING
3071,THORNBURY EAST
3081,HEIDELBERG WEST
3015,SPOTSWOOD
3396,HOPETOUN
3218,HERNE HILL
3550,KENNINGTON
3630,SHEPPARTON SOUTH
3840,MORWELL EAST
3073,RESERVOIR EAST
3040,ABERFELDIE
3125,BENNETTSWOOD
3195,PARKDALE EAST
3060,FAWKNER NORTH
3160,BELGRAVE
3280,WARRNAMBOOL WEST
3042,AIRPORT WEST
3250,ELIMINYT
3101,BALWYN
3046,HADFIELD
3199,FRANKSTON EAST
3280,WARRNAMBOOL EAST
3028,LAVERTON
3690,WODONGA WEST
3134,WARRANWOOD
3550,BENDIGO NORTH
3172,DINGLEY
3145,DARLING SOUTH
3021,ST ALBANS SOUTH
3074,THOMASTOWN EAST
3037,TAYLORS HILL
3074,THOMASTOWN WEST
3021,KEALBA
3073,RESERVOIR NORTH
3021,KINGS PARK
3088,ST HELENA
3088,GREENSBOROUGH NORTH
3020,SUNSHINE SOUTH WEST
3221,GEELONG
3844,TRARALGON WEST
3923,RHYLL
3029,HOPPERS CROSSING NORTH
3978,CLYDE NORTH
3075,LALOR WEST
3160,BELGRAVE HEIGHTS
3152,KNOX CITY CENTRE
3691,LENEVA
3356,DELACOMBE
3048,DALLAS
3689,WODONGA WEST
3030,WERRIBEE NORTH
3215,GEELONG
3029,TARNEIT
3813,TYNONG
3023,CAROLINE SPRINGS
3216,FRESHWATER CREEK
3000,MELBOURNE
3221,LOVELY BANKS
3631,SHEPPARTON NORTH
3121,RICHMOND NORTH
3934,MT MARTHA
3068,NORTH FITZROY
3461,DAYLESFORD
3911,LANGWARRIN SOUTH
3026,DERRIMUT
3175,BANGHOLME
3954,KOONWARRA
3076,EPPING NORTH
3030,WERRIBEE PLAZA
3029,TRUGANINA SOUTH
3939,ROSEBUD WEST
3781,COCKATOO
3750,WOLLERT
